BscScan Link,Transaction Hash,From Address,To Address,Amount,Block Number,Transaction Index,From Address Dollar Value Change,To Address Dollar Value Change,Comment
https://bscscan.com/tx/0x6a33edbbf8b23909e1d5cdf775399f17b380d75df8a986b54fcffcbbdd3ee007,0x6a33edbbf8b23909e1d5cdf775399f17b380d75df8a986b54fcffcbbdd3ee007,0x261be9ce37493d51686a89c4053116804e5502d0,0x0f8c95890b7bdecfae7990bf32f22120111e0b44,207182733000000000000,22732266,123,-164240465358954187344,0,Sold USD+
https://bscscan.com/tx/0x6a33edbbf8b23909e1d5cdf775399f17b380d75df8a986b54fcffcbbdd3ee007,0x6a33edbbf8b23909e1d5cdf775399f17b380d75df8a986b54fcffcbbdd3ee007,0x0f8c95890b7bdecfae7990bf32f22120111e0b44,0x26bff40cdd8db07e9a5341fcdbac29926beefa71,103591000000000000,22732266,123,0,103591000000000000,Removed USD+ liquidity
https://bscscan.com/tx/0x46f4fb0e0d22c47851cac7b86bc09977b0a8033f8db2b5767f06213e905059f3,0x46f4fb0e0d22c47851cac7b86bc09977b0a8033f8db2b5767f06213e905059f3,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,0x261be9ce37493d51686a89c4053116804e5502d0,297418390000000000000,22732378,105,0,145000000000000000000,Bought USD+
https://bscscan.com/tx/0xfa87225cce08ac6311f812df172ab4ecd6ba5cbfbec273a190c84e9c7bff6f0d,0xfa87225cce08ac6311f812df172ab4ecd6ba5cbfbec273a190c84e9c7bff6f0d,0x261be9ce37493d51686a89c4053116804e5502d0,0x0f8c95890b7bdecfae7990bf32f22120111e0b44,297418390000000000000,22732395,192,-214050372838767730351,0,Sold USD+
https://bscscan.com/tx/0xfa87225cce08ac6311f812df172ab4ecd6ba5cbfbec273a190c84e9c7bff6f0d,0xfa87225cce08ac6311f812df172ab4ecd6ba5cbfbec273a190c84e9c7bff6f0d,0x0f8c95890b7bdecfae7990bf32f22120111e0b44,0x26bff40cdd8db07e9a5341fcdbac29926beefa71,148709000000000000,22732395,192,0,148709000000000000,Removed USD+ liquidity
https://bscscan.com/tx/0x13653069ca66bfc6ee127cf89a688f5ed8ccb5532ff079fe71b0eb94eba8b054,0x13653069ca66bfc6ee127cf89a688f5ed8ccb5532ff079fe71b0eb94eba8b054,0x1abee6879bd08cc164c1ebd44fd71399f1529205,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,1225450232000000000000,22732427,97,-590317132818394948656,0,Sold USD+
https://bscscan.com/tx/0x13653069ca66bfc6ee127cf89a688f5ed8ccb5532ff079fe71b0eb94eba8b054,0x13653069ca66bfc6ee127cf89a688f5ed8ccb5532ff079fe71b0eb94eba8b054,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,0xc80321a70f3aa6c82cf2c9c8af2d46666bc4846d,122545000000000000,22732427,97,0,122545000000000000,Removed USD+ liquidity
https://bscscan.com/tx/0x1644044e292b6e51010ce3f77b627b6c807167f834d7c7f54cce58fc48c051bb,0x1644044e292b6e51010ce3f77b627b6c807167f834d7c7f54cce58fc48c051bb,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,0xfbd94fcd75240ef92c11c7abcef14230e67d1d1a,189248579000000000000,22732469,214,0,90000000000000000000,Bought USD+
https://bscscan.com/tx/0x84e90223b0be75b38e0a4bacb36b27743160a6ed64669e06fb50a7c033014a32,0x84e90223b0be75b38e0a4bacb36b27743160a6ed64669e06fb50a7c033014a32,0xfbd94fcd75240ef92c11c7abcef14230e67d1d1a,0x0f8c95890b7bdecfae7990bf32f22120111e0b44,189248579000000000000,22732486,45,-124502585922617793683,0,Sold USD+
https://bscscan.com/tx/0x84e90223b0be75b38e0a4bacb36b27743160a6ed64669e06fb50a7c033014a32,0x84e90223b0be75b38e0a4bacb36b27743160a6ed64669e06fb50a7c033014a32,0x0f8c95890b7bdecfae7990bf32f22120111e0b44,0x26bff40cdd8db07e9a5341fcdbac29926beefa71,94624000000000000,22732486,45,0,94624000000000000,Removed USD+ liquidity
https://bscscan.com/tx/0x12d1057306bc9c19f1cec1e9dcb478bc7d84ef8d4b62c6ed206806104d430857,0x12d1057306bc9c19f1cec1e9dcb478bc7d84ef8d4b62c6ed206806104d430857,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,0x261be9ce37493d51686a89c4053116804e5502d0,417331319000000000000,22732489,34,0,200000000000000000000,Bought USD+
