Address,Amount
0x5cc96df48740ca79a339acc2ff0362a04991888b,$0.0
0x88c5f23cb1b9f4c8bc1f6c565c346cca606f4449,$0.01
0xc31ca0dfc4537d4c214c3ae94a14442d50729401,$844.0
0x9548f8046724b3a807df7bbc9e84fbbf59b8b7ef,$0.21
0x8a6ab47b1b794275c9e4d931e1f096de117d775c,$11.38
0xce7912a19a4660caef1b2031769bf2d265f65c0a,$0.1
0x21376916d9dacb5550aa55c32d4265fd2fa1ba25,$3.5
0x99e8799914fe0cafcdb9e852832ada956e14db39,$1424.61
0x64cde0eb1341ef0b5495672e34f041417c6a4adb,$0.85
0xc98b157d288543eb2f43cd0b6f94aa44c4d6391b,$73.94
0xe92a405afa5f6a1b55f87f4bff1dd03bfcb144c3,$8969.93
0x96a84808e1a9a093ff16dd9550ab48f60cab5a7c,$611.1
0x08d3215dcb15a79bd2280993a2191eadc34ab950,$248.18
0x6cb3981d8f8696780525c872e24f6c552adc376f,$8.89
0xe0492083497504d81b5d58b7831b995ffcf8d9f6,$3.75
0x221b87c53c99afe17b43277b5331fd7629392677,$0.0
0x7440444510048eed16041357ddb1f527a41448c6,$0.4
0x35767be1d10c9bb896afb537527c5ee35b64f63e,$23.65
0x6f8e021a86a99c8d1f74ca32dc0a74cd2da76473,$338.99
0x6c2693f5a936f37ed03cfa8465bf2d8beff19a0f,$76.53
0x965b78533a72d2a18fa31f3449887572e9a54a1e,$0.0
0x0d208306adccda6e3ef6ea36cf2d956161defbd5,$1.3
0xe630b779f6b194af081883cc304b1b44b19246c8,$7.46
0xf07add5ce0f6ac0db4105b34f74b899fead6274c,$168.79
0xa5ae0a84d79217aa9e0a61fe1983ae1fe3419d1d,$5.58
0xd31f6bcad59e7f4d6f00bcc9c786981d7b10abfb,$933.56
0xfccae3bbc7d90e6b1f3108132db393d9c8cb9697,$55.02
0x8b2bab117721c370032b27ca290acf282edd6ac8,$113.43
0xaed8810b3f7367d63a6d6fd86dfb1878552d9d07,$1948.72
0x3c0519c8eca2b971ba9e8c29cb2d9096f06664b3,$0.0
0xcfad910be062b15c30fc307f31f70b220d0a5d2a,$126.7
0x84a2d4423428108aaf0a112121e6ecc14bd07944,$0.01
0x66f3c3fbf65089bea354670b687fc66103e349cf,$29.64
0xcfca2216c1bbb2604fd224b5ea05fb9584e962bf,$103.52
0xda38bb65c07a1e33ed98944095f39bf431b6770a,$51.56
0xf78ce842af15bcce94d8f7c8c015d6370aa09cfc,$21.32
0x52179340f92f4b36a4ccc25d7bec73249792c877,$106.0
0xa360d824cc464fac9dd8e90e3c4adb2166c07119,$68.45
0x82139e3760d396d1a0b3704ef5a486578504ab3f,$0.0
0x8cdf58a46c134d0898ee396a3c4802fe7e6d0466,$122.82
0xc467bb07d0509494e413b62f4f2797b6826f4ed8,$625.9
0x4324224f5273e1a7b6fc83918b4167abc20a8d0a,$0.0
0x046c075379898809e0c693fa18235794c208a975,$1466.07
0x8504a9caf1582a674cbc596a8dc2b8b9dd922744,$25.46
0x9abe353247ae0d600fc7a5f06e1fe01039dd49cf,$3021.55
0x9732f4ff29c2e37a9dae413add43c4e3367f624a,$0.03
0x578b776e9a8ff380c257a0dd274820c5d484c6ec,$6.49
0x65227fd76d2f3cfae811e22a0cb5d701c89fb949,$15.1
0x4726bba4f416d840b2a8ac775a6a5d8981fc1dd4,$639.29
0x54d177b140da37b6ccd2a86cc8144dc5bc1a4bf2,$28.56
0x95811c8511aa70012d050bdd9962377e22da9eda,$36.35
0x9b98b0329ee42364d101ac8c03704b263909e3db,$0.58
0xe0a8f641819d66948d6d39ab9978259d6c7cfee8,$0.0
0x5eb23fe613f6dddfb5b0028948679bdc5fe51b4d,$1.86
0x5853ed4f26a3fcea565b3fbc698bb19cdf6deb85,$0.45
0x1dd888e48b5b9227110cf6d49c0b565c08fe76f1,$0.82
0xd01e12aeb10bc56c31bcb89cab4bdfdfd771025b,$51.84
0x9d3cf9beb8582843450a3a079ccf2ee88220b090,$42.24
0xe7fa5e5cfc3df4305a6436443417c4db4b24ee04,$98.88
0xd0b3a722045f9b3a7b5b5ea2d954ccaf723adda2,$652.87
0xbca4d68be543dcefb1a8bccb519503f9ba3f2026,$69840.23
0x63c34ae55862df0bb7f0eff355b43005c9978bd6,$1733.35
0xe0f221ec4beb4403ee168bb1ae6107d96daf5178,$0.36
0x4e5b2447077fbbe3bd3d69bee701344e9ca7a8dc,$74413.37
0xfdaae9e905e4f2df79db2aa820507d25336287b6,$1.17
0x525fae987fefc44313d562102e36498929138af5,$0.05
0xf58886c5a06873357e946e75a4a7e3051a1f061a,$2.11
0x3b3f389d556acf95b011a09a0c3fd970589f039e,$8.11
0x5cb01385d3097b6a189d1ac8ba3364d900666445,$4.85
0xbbfffa45758126e0470bfac7c011f5b7e899ba8b,$0.0
0x88888887c3ebd4a33e34a15db4254c74c75e5d4a,$2.57
0xace5e4e92e7962c1104167ffec39f3b0e9f52c99,$18.66
0x31cd785b11beaffc42d3f9461b245f891922e09c,$106.69
0xb4dba91ecee5f8035731dfea984203b156adca69,$1.12
0xf8c92a50eac2aa2f2edac8eb1034a08335130f20,$44.27
0xc06a915208cbd2d241e7648357a054dc975fa01e,$39.99
0x45354ba7fd880cb247f0940818dcc136b282ad3f,$1855.76
0x46ac736c13573625bba68025f3211a72105b70f9,$0.81
0x984c369da885c0f31cb92b47c20da80cd63f0c22,$49.86
0x19db889e543081beac7cc0990bf7546c09acd78e,$228.54
0x2ea1815b01067f68ef87895e0467a619340d5c8a,$0.0
0xe892cccd9617ff003ed8a08052c258fb59f907f6,$47.96
0xe59114cde5be8942e33636cafefed099ec64e0a6,$0.0
0xa4c25e89398e2076d022798b0510244b939363a2,$47.68
0xd1673b469c7e5ebef39900c45ca1f17d1a6b3227,$214.11
0x00f866f9de015dba200557849eb928152102c05f,$4.91
0x0dcc45896010d45ee16d77b8e0bf88fbacb733bb,$0.0
0xcb6222f4df04385ea08e8da2a5871131ff5f6cba,$84.91
