Address,Amount
0x72dbe4326bf0fc61d22a8dc22ae2352b29f87f05,585000000000000
0x92b8f9fe69d7a0ff316de2fbeadd1a5c29f774ec,167534000000000000
0xb0c06e6c5a47358ba2bede40aa750e307e50859d,7972853000000000000
0x1fa93cae01311fbfcbac882c7a689859eb785dae,156732000000000000
0xae1b058185a4ccbb5bbf2be8124039e4ba8f907f,1760912888000000000000
0xfeefa6a1b81344723f7863e00890a3186751394a,134509000000000000
0x0370348585515800f51072f13471c5c5a67fa07a,78964000000000000
0xa84dece887161648ca5c0d37b92505728b2f7b74,0
0x67c7c1e1114fd3b68fa0fe023c5be3c857e3bb36,0
0xbd87fdad3cec221ebb4bf11f4ead250331752e17,7266133000000000000
0x489d55df278224a05f793098d41753d5669d5144,307782000000000000
0xb16187b31fd260385ff405721796d4cd84739e55,929000000000000
0xbca50151397b790c7d1cf5c66e8889a08b086612,16342083000000000000
0x8d4b2b5e38694c2d7a2763244a3c593af932c3be,160296282000000000000
0xd6991901cc0fbd1ba5470edf8f545a0db7e59ccb,21042000000000000
0x9bacec26542a3652a131aff8ae10bd0787cfed1a,29518848000000000000
0xc2e7d764d6a2c9e24c8172ab476852c8992a5f5b,49385902000000000000
0xa4b676d48bece74cd241bb487e55682e85d023a9,0
0x306f6465c5ddf502a5bb31e3b340ad30f7ee0c77,91102000000000000
0x6735646dba76763695be5395bf2f4245046db44c,15419238000000000000
0x4d60d71f411ab671f614ed0ec5b71beedb46287d,23000000000000
0x9332764dbf57f6cb4dcf7757fed2f5517e2227b7,4774413000000000000
0x5d6836f641fffe6a86799b51a4bded07148760ca,73416359000000000000
0x12b594f4987c1978b3c4e2a018bf561846d1962c,875861000000000000
0xf89684bccdca539cd09f26e8cf4c396b7c6fb39a,793284000000000000
0x4714da5ae7c92d4bf99ca19f5aa7755a1bd0e42f,311891000000000000
0xca54fa35a5b545c1564f9373255e29d30192f6e7,88307000000000000
0x44fa1b7b7acc00f6c81539a8fe255794edf7c03c,969000000000000
0x8198701ef72cff6f137100827d5761e1e057c1ab,40223454000000000000
0xc70be833d2df49add0943d38cf064e974faf2ff0,4744653000000000000
0x6d39986be91769b86818d5c470562b4eb00f37f4,37801000000000000
0xcfa7acf8b959b0e370a68492876a09c34ed58428,1223767165000000000000
0xa766094e9bf0afc1bb5208ec9a81a782663d797a,12994000000000000
0x8a3154b26c925fa8b2d61fc0b94747079acc5691,69441018000000000000
0x9540f81a34a56e8a84a8acda49615dcc357a7593,142781000000000000
0x8b46cadc9aa88224f167711d333134a1f769f918,1745108000000000000
0xfeff18971b0e49f503586980218c835dca346b8f,156489000000000000
0xcacd0572faeea161bc7e081e0a0d459ef9c50bbf,0
0x48e656faa91f50b8539b679db48feb10b5529d87,65102000000000000
0x466719a736a82041ab7a15bf564b498d1a52e181,1653487000000000000
0x3c69f27ffa0c9fc426a664d1aa51200ab52b6f17,952000000000000
0x9729c5a53a0514fd124a74c9fc83fc2e8b8161fb,853921940000000000000
0x52dfdf369f6b4fde187a9d54561cab8f9574c0d3,47937283000000000000
0xe2e3fce1b7712c0faba08e72990b5094c666ef5c,297104000000000000
0x6a4f6697c6f42c2b52e39560a664892045a89af1,47828368000000000000
